c_load_fF,gmin,status,freq_MHz,period_ns,swing_V,wall_s
50.0,1e-09,ok,159.83999999999997,6.256256256256258,1.3749700349615257,36.545231342315674
0.0,0.001,ok,166.49999999999997,6.006006006006007,1.406520698544589,24.755284070968628
0.0,1e-09,ok,166.49999999999997,6.006006006006007,1.406516151169601,24.947994709014893
0.0,1e-06,ok,166.49999999999997,6.006006006006007,1.406516149840292,22.71390199661255
