integrator,controller,ctrl_params,c_load_fF,status,freq_MHz,period_ns,swing_V,num_steps,wall_s
BDF2,pid,rtol=1e-05 atol=1e-07,0.0,ok,299.69999999999993,3.3366700033366707,1.4061191007358624,73977,32.47047162055969
BDF2,fixed,dt=50ps,0.0,ok,299.69999999999993,3.3366700033366707,1.3855338703457796,600,2.2756826877593994
BDF2,fixed,dt=1ps,0.0,ok,299.69999999999993,3.3366700033366707,1.4060973520130893,30000,20.50026273727417
BE,fixed,dt=1ps,0.0,ok,299.69999999999993,3.3366700033366707,1.4046253988457116,30000,19.655779600143433
